latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,intensity_class,marker_color
61.75081,66.95447,341.99,0.64,0.72,2026-05-21,0018,N,VIIRS,n,2.0NRT,273.28,5.55,D,2026-05-21 00:18:00,Medium,orange
61.75447,66.95893,339.16,0.64,0.72,2026-05-21,0018,N,VIIRS,n,2.0NRT,273.04,4.56,D,2026-05-21 00:18:00,Low,blue
57.94503,60.04451,325.27,0.67,0.73,2026-05-21,0020,N,VIIRS,n,2.0NRT,277.04,4.33,D,2026-05-21 00:20:00,Low,blue
60.9995,60.16161,327.79,0.49,0.65,2026-05-21,0020,N,VIIRS,n,2.0NRT,273.54,5.88,D,2026-05-21 00:20:00,Medium,orange
61.00325,60.16451,335.95,0.49,0.65,2026-05-21,0020,N,VIIRS,n,2.0NRT,274.6,6.03,D,2026-05-21 00:20:00,Medium,orange
61.00656,60.20206,343.41,0.49,0.65,2026-05-21,0020,N,VIIRS,n,2.0NRT,273.76,5.81,D,2026-05-21 00:20:00,Medium,orange
61.0098,60.19453,348.26,0.49,0.65,2026-05-21,0020,N,VIIRS,n,2.0NRT,273.44,5.81,D,2026-05-21 00:20:00,Medium,orange
62.74253,29.52039,310.48,0.44,0.38,2026-05-21,0020,N,VIIRS,n,2.0NRT,272.48,1.51,N,2026-05-21 00:20:00,Low,blue
63.81052,35.59959,301.04,0.39,0.36,2026-05-21,0020,N,VIIRS,n,2.0NRT,278.93,0.6,N,2026-05-21 00:20:00,Low,blue
64.19157,29.94115,297.27,0.45,0.39,2026-05-21,0020,N,VIIRS,n,2.0NRT,280.29,0.58,N,2026-05-21 00:20:00,Low,blue
64.64689,24.42487,331.63,0.41,0.45,2026-05-21,0020,N,VIIRS,n,2.0NRT,282.88,3.82,N,2026-05-21 00:20:00,Low,blue
64.65514,24.42815,311.56,0.41,0.45,2026-05-21,0020,N,VIIRS,n,2.0NRT,282.82,2.21,N,2026-05-21 00:20:00,Low,blue
64.66226,21.28233,304.38,0.5,0.49,2026-05-21,0020,N,VIIRS,n,2.0NRT,279.87,1.77,N,2026-05-21 00:20:00,Low,blue
64.66365,21.27851,307.54,0.5,0.49,2026-05-21,0020,N,VIIRS,n,2.0NRT,280.39,1.26,N,2026-05-21 00:20:00,Low,blue
65.56367,22.21935,338.37,0.48,0.48,2026-05-21,0020,N,VIIRS,n,2.0NRT,283.58,5.28,N,2026-05-21 00:20:00,Medium,orange
65.56424,22.20887,305.88,0.48,0.48,2026-05-21,0020,N,VIIRS,n,2.0NRT,280.97,3.75,N,2026-05-21 00:20:00,Low,blue
65.56501,22.21523,343.85,0.48,0.48,2026-05-21,0020,N,VIIRS,n,2.0NRT,283.45,7.08,N,2026-05-21 00:20:00,Medium,orange
65.76627,24.19046,307.0,0.43,0.46,2026-05-21,0020,N,VIIRS,n,2.0NRT,280.86,1.39,N,2026-05-21 00:20:00,Low,blue
65.7669,24.18096,308.9,0.43,0.46,2026-05-21,0020,N,VIIRS,n,2.0NRT,281.15,1.39,N,2026-05-21 00:20:00,Low,blue
65.76835,24.18953,317.51,0.43,0.46,2026-05-21,0020,N,VIIRS,n,2.0NRT,281.45,2.3,N,2026-05-21 00:20:00,Low,blue
65.77048,24.19214,308.15,0.43,0.46,2026-05-21,0020,N,VIIRS,n,2.0NRT,281.19,1.39,N,2026-05-21 00:20:00,Low,blue
51.56711,52.75594,308.33,0.75,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,284.64,1.8,N,2026-05-21 00:22:00,Low,blue
51.58731,52.9173,313.88,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,283.5,2.67,N,2026-05-21 00:22:00,Low,blue
51.59261,52.91508,319.81,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,284.11,3.54,N,2026-05-21 00:22:00,Low,blue
51.59945,52.93016,320.85,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,284.23,6.19,N,2026-05-21 00:22:00,Medium,orange
51.60066,52.93768,303.67,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,283.79,11.59,N,2026-05-21 00:22:00,Medium,orange
51.60348,52.92041,304.84,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,283.93,6.19,N,2026-05-21 00:22:00,Medium,orange
51.60472,52.92798,367.0,0.76,0.77,2026-05-21,0022,N,VIIRS,h,2.0NRT,286.03,11.59,N,2026-05-21 00:22:00,Medium,orange
51.6055,52.93666,346.7,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,285.14,6.19,N,2026-05-21 00:22:00,Medium,orange
51.60951,52.92693,318.08,0.76,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,283.97,6.19,N,2026-05-21 00:22:00,Medium,orange
51.61707,52.7823,303.13,0.75,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,284.2,1.1,N,2026-05-21 00:22:00,Low,blue
51.61868,52.7904,298.83,0.75,0.77,2026-05-21,0022,N,VIIRS,n,2.0NRT,283.84,1.74,N,2026-05-21 00:22:00,Low,blue
51.81353,52.54987,318.01,0.72,0.76,2026-05-21,0022,N,VIIRS,n,2.0NRT,283.61,2.54,N,2026-05-21 00:22:00,Low,blue
51.8458,53.8127,299.35,0.8,0.78,2026-05-21,0022,N,VIIRS,n,2.0NRT,282.87,1.07,N,2026-05-21 00:22:00,Low,blue
51.87135,52.97836,299.21,0.74,0.76,2026-05-21,0022,N,VIIRS,n,2.0NRT,282.77,0.73,N,2026-05-21 00:22:00,Low,blue
