kmeans_30,detections,avg_frp,max_frp,extreme_detections
0,3745,9.79,119.11,67
1,2112,8.49,205.36,24
2,2652,7.68,148.34,23
3,1312,4.75,230.64,6
4,2745,8.22,123.26,22
5,274,3.64,37.0,0
6,1815,8.19,109.89,6
7,849,3.97,79.43,4
8,1649,10.33,207.84,44
9,649,9.31,218.21,22
10,1145,7.21,136.15,11
11,564,2.15,36.79,0
12,672,3.63,65.88,3
13,1066,3.52,99.17,7
14,1569,6.58,65.09,4
15,355,4.2,179.98,2
16,513,2.23,32.43,0
17,490,8.9,90.65,14
18,1000,7.42,107.28,2
19,732,8.15,146.53,10
20,1716,7.69,80.86,15
21,277,6.64,111.22,3
22,612,6.26,136.69,1
23,255,10.66,72.64,2
24,510,5.98,57.26,3
25,1127,6.23,120.0,10
26,831,5.41,46.35,0
27,448,9.3,130.58,4
28,1245,6.61,78.07,1
29,631,6.73,111.18,9
