acq_datetime,latitude,longitude,frp,bright_ti4,confidence,intensity_class,daynight
2026-04-27 19:19:00,19.12282,-90.62835,421.39,367.0,h,Extreme,D
2026-04-27 19:19:00,16.92767,-89.15736,382.22,367.0,h,Extreme,D
2026-04-27 19:19:00,18.19659,-90.69629,298.05,367.0,h,Extreme,D
2026-04-27 07:29:00,22.40778,79.93428,273.69,367.0,h,Extreme,D
2026-04-27 19:19:00,19.12398,-90.62098,257.99,342.12,n,Extreme,D
2026-04-27 19:19:00,19.1234,-90.62467,257.99,367.0,h,Extreme,D
2026-04-27 05:29:00,-41.14605,147.74472,233.02,367.0,h,Extreme,D
2026-04-27 19:19:00,18.49434,-102.09165,225.69,367.0,h,Extreme,D
2026-04-27 03:49:00,-35.71007,145.99509,224.6,348.39,n,Extreme,D
2026-04-27 05:36:00,-23.54638,132.13234,200.71,342.37,n,Extreme,D
2026-04-27 05:36:00,-23.55279,132.12698,200.71,367.0,h,Extreme,D
2026-04-27 05:36:00,-23.55142,132.13332,200.71,367.0,h,Extreme,D
2026-04-27 03:51:00,-34.7232,147.1389,190.0,367.0,h,Extreme,D
2026-04-27 19:17:00,12.47773,-83.82915,166.34,348.28,n,Extreme,D
2026-04-27 03:49:00,-37.56856,142.62608,165.22,356.6,n,Extreme,D
